time,GHI,BHI,DHI,GTI,BTI,DTI,alpha
2007-01-09 11:30:00,291.6666666666667,150.1290810033665,141.53758566330018,559.6559801964281,362.7810905673851,190.05118588667992,20.793783118381995
2007-01-09 12:30:00,261.1111111111108,94.30223887615844,166.80887223495236,422.1123673767288,223.8830519540993,192.12047588184723,21.775577444107967
2007-01-09 13:30:00,286.1111111111111,151.82316030450426,134.28795080660683,563.3355225505373,372.0383843940932,184.60340972345932,20.06875806292554
2007-01-09 14:30:00,222.22222222222223,111.81632628762416,110.40589593459806,464.20572193033024,303.0333445079515,155.97336504724495,15.86837667529737
2007-01-09 15:30:00,86.11111111111111,10.108006810876105,76.00310430023501,113.4624619018609,35.6804735349059,75.76737107159065,9.588197119359847
2007-01-09 16:30:00,16.66666666666664,2.8590533146197092,13.80761335204693,11.754220154244882,0.0,11.364294226109847,1.7100687085085582
2007-01-09 17:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-7.320837370595314
2007-01-09 18:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-17.128670593171123
2007-01-09 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-27.390376919237212
2007-01-09 20:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-37.7879528523836
2007-01-09 21:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-47.917765310115584
2007-01-09 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-57.09344255480346
2007-01-09 23:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-63.92599229026354
2007-01-10 00:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-65.96261226393037
2007-01-10 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-62.340158422321565
2007-01-10 02:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-54.70632260695467
2007-01-10 03:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-45.191304638600286
2007-01-10 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-34.94434841781859
2007-01-10 05:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-24.548683766843695
2007-01-10 06:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-14.373493757284436
2007-01-10 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-4.732457213268233
2007-01-10 08:30:00,38.888888888888886,6.342316186896433,32.54657270199245,81.38745358524608,40.35515053885174,40.12247588074592,4.040121028221137
2007-01-10 09:30:00,66.66666666666639,3.919116600912375,62.74755006575401,71.36983893566342,12.413274511031464,57.39686071209182,11.54915758781759
2007-01-10 10:30:00,75.0,3.3333677700490654,71.66663222995093,74.67420541428173,8.661102435359801,64.25843630231427,17.33243069858152
2007-01-10 11:30:00,72.22222222222223,2.580053102594178,69.64216911962805,69.93514009645197,6.206436848909421,62.039024225624054,20.910940645203354
2007-01-10 12:30:00,80.55555555555526,3.0698209996382815,77.48573455591698,78.22943543595565,7.254297017378379,69.09049643259127,21.912560741475588
2007-01-10 13:30:00,86.11111111111111,3.7875615761624744,82.32354953494864,84.93384009093245,9.231526229565317,73.68769656600277,20.220291176544066
2007-01-10 14:30:00,75.0,3.5965790035970997,71.4034209964029,75.67347814438035,9.676158192855418,64.24265327491727,16.028333596651663
2007-01-10 15:30:00,44.44444444444444,2.058916712196705,42.38552773224774,46.588725974825465,7.171680331875692,38.37724316792301,9.751489169835992
2007-01-10 16:30:00,8.333333333333306,0.3750174306301668,7.958315902703139,7.165177142866612,0.0,6.970214178799094,1.8734387762851554
2007-01-10 17:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-7.158949936939877
2007-01-10 18:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-16.968559536259434
2007-01-10 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-27.231419834616986
2007-01-10 20:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-37.62882399957567
2007-01-10 21:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-47.756744635056435
2007-01-10 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-56.92993429733755
2007-01-10 23:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-63.76714511988385
2007-01-11 00:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-65.82682370345887
2007-01-11 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-62.25266607759397
2007-01-11 02:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-54.655228197837005
2007-01-11 03:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-45.15894759487722
2007-01-11 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-34.91880033033017
2007-01-11 05:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-24.522221792570903
2007-01-11 06:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-14.340484159562308
2007-01-11 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-4.688182865799632
2007-01-11 08:30:00,19.444444444444443,0.9336878103730122,18.51075663407143,23.568453322641172,5.846216214795129,17.267323525021833,4.0999551327115
2007-01-11 09:30:00,47.22222222222222,1.953343890857198,45.26887833136502,47.92561386032865,6.143686793130135,40.67713693748258,11.628365858400429
2007-01-11 10:30:00,172.22222222222223,33.23838258159276,138.98383964062947,231.27063425761946,85.91060430055926,141.3307953663315,17.433690769257268
2007-01-11 11:30:00,288.8888888888889,142.4527500958918,146.43613879299713,539.3988691922119,341.0585579020915,191.5815952024465,21.034647097720978
2007-01-11 12:30:00,322.22222222221944,181.26929032600452,140.95293189621492,629.1578087787353,426.2941881968506,195.32505263794073,22.0559187002916
2007-01-11 13:30:00,288.8888888888889,151.7954055426589,137.09348334623002,561.0332510209798,367.92350097084983,186.35103396245606,20.377789676696395
2007-01-11 14:30:00,222.22222222222223,107.25010249217264,114.97211973004958,449.1444586419943,286.3886073323806,157.55683893447988,16.19368014830924
2007-01-11 15:30:00,99.99999999999973,20.038662285296667,79.96133771470306,158.65276312473404,68.86377369730663,87.44943385861718,9.919541316782187
2007-01-11 16:30:00,13.88888888888889,0.9563270318278825,12.932561857061007,24.908152676385622,10.640988027391789,13.94222637554797,2.0409832624560806
2007-01-11 17:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-6.9933693394893055
2007-01-11 18:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-16.80509783502461
2007-01-11 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-27.06928766308097
2007-01-11 20:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-37.46648647387558
2007-01-11 21:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-47.592194683190826
2007-01-11 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-56.76215560164388
2007-01-11 23:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-63.60274197911062
2007-01-12 00:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-65.68414984214141
2007-01-12 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-62.15798980235547
